id,block,model,bimanual,unimanual,4DoF,6DoF
108,0,A,0.11478759375686676,0.24284615695956613,0.24284615695956613,0.11478759375686676
108,0,B,0.12446906165886143,0.16253243260814318,0.16253243260814318,0.12446906165886143
108,0,C,0.1681882607651954,0.1363417906903553,0.1363417906903553,0.1681882607651954
108,0,D,0.20286591577296986,0.13358049149400533,0.13358049149400533,0.20286591577296986
109,1,A,0.14179720872194632,0.16255741232244295,0.14179720872194632,0.16255741232244295
109,1,B,0.095384806,0.053128978,0.095384806,0.053128978
109,1,C,0.065951315,0.095943508,0.065951315,0.095943508
109,1,D,0.1889954263106833,0.11960339514171009,0.1889954263106833,0.11960339514171009
110,2,A,0.12634478227635393,0.1808752388375313,0.1808752388375313,0.12634478227635393
110,2,B,0.2766697016494544,0.13135443498546562,0.13135443498546562,0.2766697016494544
110,2,C,0.13978612722534522,0.12624792567644338,0.12624792567644338,0.13978612722534522
110,2,D,0.2124199589793457,0.1384900887259835,0.1384900887259835,0.2124199589793457
111,3,A,0.2417614298210526,0.27855864471934055,0.2417614298210526,0.27855864471934055
111,3,B,0.2533867858791164,0.2554381722547315,0.2533867858791164,0.2554381722547315
111,3,C,0.22069744807540792,0.29740550869353477,0.22069744807540792,0.29740550869353477
111,3,D,0.22952573098207174,0.26053087507978756,0.22952573098207174,0.26053087507978756
112,0,A,0.23931794385999902,0.22606493976238837,0.22606493976238837,0.23931794385999902
112,0,B,0.1511974254567616,0.1077989457263108,0.1077989457263108,0.1511974254567616
112,0,C,0.11163775780347926,0.1699630047193061,0.1699630047193061,0.11163775780347926
112,0,D,0.21059642223003183,0.21388029654503116,0.21388029654503116,0.21059642223003183
114,2,A,0.1711566768219628,0.17509263494717672,0.17509263494717672,0.1711566768219628
114,2,B,0.12277885379801037,0.16243346995792973,0.16243346995792973,0.12277885379801037
114,2,C,0.11666542223549616,0.088276836,0.088276836,0.11666542223549616
114,2,D,0.1358514762979929,0.13548614363853845,0.13548614363853845,0.1358514762979929
116,0,A,0.21438656675823883,0.2851739828646083,0.2851739828646083,0.21438656675823883
116,0,B,0.1570817697879396,0.2663972249020514,0.2663972249020514,0.1570817697879396
116,0,C,0.2531810389103088,0.17861150522128025,0.17861150522128025,0.2531810389103088
116,0,D,0.23617584078599319,0.3081419986120844,0.3081419986120844,0.23617584078599319
117,1,A,0.2406512021530261,0.1863907631515628,0.2406512021530261,0.1863907631515628
117,1,B,0.20995226210440399,0.10455019890675342,0.20995226210440399,0.10455019890675342
117,1,C,,0.14690466621685858,,0.14690466621685858
117,1,D,0.18467561727825077,0.16134142191661877,0.18467561727825077,0.16134142191661877
118,2,A,0.29087577241152374,0.1694738488814726,0.1694738488814726,0.29087577241152374
118,2,B,0.19056784453475245,0.21468986097855638,0.21468986097855638,0.19056784453475245
118,2,C,0.2120966899864258,0.16665457604056175,0.16665457604056175,0.2120966899864258
118,2,D,0.14741978520937296,0.1093495040999989,0.1093495040999989,0.14741978520937296
119,3,A,0.2927571871889455,0.16072863648540048,0.2927571871889455,0.16072863648540048
119,3,B,0.3018179501195535,0.2684983133424134,0.3018179501195535,0.2684983133424134
119,3,C,0.29383245673317077,0.26566884174515815,0.29383245673317077,0.26566884174515815
119,3,D,0.19650255680057563,0.21090539047814888,0.19650255680057563,0.21090539047814888
120,0,A,0.13630422011495896,0.18691326757101534,0.18691326757101534,0.13630422011495896
120,0,B,0.10355718945787812,0.18312718444570017,0.18312718444570017,0.10355718945787812
120,0,C,0.1280063198548774,0.16181782549206103,0.16181782549206103,0.1280063198548774
120,0,D,0.1716976110730242,0.16971237523783303,0.16971237523783303,0.1716976110730242
121,1,A,0.1213506816267787,0.082729682,0.1213506816267787,0.082729682
121,1,B,0.1539943946040364,0.13735732,0.1539943946040364,0.13735732
121,1,C,0.1383141806613723,0.13636592979063739,0.1383141806613723,0.13636592979063739
121,1,D,0.12724977604039417,0.1408031765196623,0.12724977604039417,0.1408031765196623
122,2,A,0.18341608220426625,0.185961056,0.185961056,0.18341608220426625
122,2,B,0.19207908536207977,0.2144214124081383,0.2144214124081383,0.19207908536207977
122,2,C,0.1675054346207677,0.094174627,0.094174627,0.1675054346207677
122,2,D,0.12173471975653055,0.19385073170574105,0.19385073170574105,0.12173471975653055
124,0,A,0.2482899032910827,0.18165101207560036,0.18165101207560036,0.2482899032910827
124,0,B,0.10602092853129208,0.18343020966072965,0.18343020966072965,0.10602092853129208
124,0,C,0.15979868145244497,0.15804975810540967,0.15804975810540967,0.15979868145244497
124,0,D,0.066822586,0.15561553237532522,0.15561553237532522,0.066822586
125,1,A,0.17416717610565677,0.1986485278488682,0.17416717610565677,0.1986485278488682
125,1,B,0.15050805876587153,0.12317839680852985,0.15050805876587153,0.12317839680852985
125,1,C,0.16140139450804855,0.1523113243469652,0.16140139450804855,0.1523113243469652
125,1,D,0.14540484343533483,0.11317466245656922,0.14540484343533483,0.11317466245656922
126,2,A,0.1763931949580599,0.15806938568591386,0.15806938568591386,0.1763931949580599
126,2,B,0.17016263621191793,0.18734777992880786,0.18734777992880786,0.17016263621191793
126,2,C,0.1549794294611127,0.1516836410141189,0.1516836410141189,0.1549794294611127
126,2,D,0.1477613585861284,0.15356907323623786,0.15356907323623786,0.1477613585861284
127,3,A,0.2923487029019595,0.14097782217460306,0.2923487029019595,0.14097782217460306
127,3,B,0.20294076783420054,0.2984697684563373,0.20294076783420054,0.2984697684563373
127,3,C,0.20699690953614064,0.2097143499903722,0.20699690953614064,0.2097143499903722
127,3,D,0.15864669833556952,0.23472525409008757,0.15864669833556952,0.23472525409008757
128,0,A,0.14230343004630197,0.098085758,0.098085758,0.14230343004630197
128,0,B,0.071281731,,,0.071281731
128,0,C,0.10866002270994475,0.19040889251841148,0.19040889251841148,0.10866002270994475
128,0,D,0.044232651953903676,0.14357836776522065,0.14357836776522065,0.044232651953903676
131,3,A,0.22543012873670568,0.10578596326053497,0.22543012873670568,0.10578596326053497
131,3,B,0.16615456976191328,0.13507781833114058,0.16615456976191328,0.13507781833114058
131,3,C,0.2408804179275251,0.087505907,0.2408804179275251,0.087505907
131,3,D,0.2125908087544895,0.19043115199738475,0.2125908087544895,0.19043115199738475
132,0,A,0.2803778630893327,0.18182958179196188,0.18182958179196188,0.2803778630893327
132,0,B,0.17328101296929618,0.1842412331879875,0.1842412331879875,0.17328101296929618
132,0,C,0.15274463007159905,0.23147241382994257,0.23147241382994257,0.15274463007159905
132,0,D,0.19633936167891972,0.19128261368563337,0.19128261368563337,0.19633936167891972
133,1,A,0.14990293784774358,0.12466474089324069,0.14990293784774358,0.12466474089324069
133,1,B,0.10114112473987767,0.18889286350955858,0.10114112473987767,0.18889286350955858
133,1,C,0.15781013637050212,0.1474024011851153,0.15781013637050212,0.1474024011851153
133,1,D,0.23577454295104847,0.11499861180247181,0.23577454295104847,0.11499861180247181
134,2,A,0.1843524291724551,0.21864733824196608,0.21864733824196608,0.1843524291724551
134,2,B,0.21093745880127757,0.17210648658591288,0.17210648658591288,0.21093745880127757
134,2,C,0.16538923174339154,0.11940049013901201,0.11940049013901201,0.16538923174339154
134,2,D,0.2789341924506461,0.29127684116091296,0.29127684116091296,0.2789341924506461
135,3,A,0.1727018777011653,0.17351772483559194,0.1727018777011653,0.17351772483559194
135,3,B,0.1363249851320563,0.13379376226721557,0.1363249851320563,0.13379376226721557
135,3,C,0.15053860562541266,0.18531139520949455,0.15053860562541266,0.18531139520949455
135,3,D,0.21499155669522796,0.13118625168082385,0.21499155669522796,0.13118625168082385
136,0,A,0.15549842428263394,0.17160082597197568,0.17160082597197568,0.15549842428263394
136,0,B,0.11574395585062548,0.13707913492784926,0.13707913492784926,0.11574395585062548
136,0,C,0.17324154418850413,0.08489667,0.08489667,0.17324154418850413
136,0,D,0.13079674839283495,0.094273587,0.094273587,0.13079674839283495
137,1,A,0.1571056647813987,0.10327766421333033,0.1571056647813987,0.10327766421333033
137,1,B,0.1521575946927431,0.073331883,0.1521575946927431,0.073331883
137,1,C,0.19570759861439022,0.11792393232513987,0.19570759861439022,0.11792393232513987
137,1,D,0.1439412719610399,0.11517592546735511,0.1439412719610399,0.11517592546735511
139,3,A,0.13737935149095848,0.26300374182596326,0.13737935149095848,0.26300374182596326
139,3,B,0.17933593533472236,0.18360785768187735,0.17933593533472236,0.18360785768187735
139,3,C,0.27285714564139946,0.1722044755943207,0.27285714564139946,0.1722044755943207
139,3,D,0.2722452748429485,0.085349174,0.2722452748429485,0.085349174
140,0,A,0.12758254989673787,0.14951730828973797,0.14951730828973797,0.12758254989673787
140,0,B,0.1301405517959396,0.24792810986370717,0.24792810986370717,0.1301405517959396
140,0,C,0.16245418053680769,0.18560882013113264,0.18560882013113264,0.16245418053680769
140,0,D,0.22636765241072843,0.1577851177076978,0.1577851177076978,0.22636765241072843
141,1,A,0.23177522438738912,0.10340914085100553,0.23177522438738912,0.10340914085100553
141,1,B,0.18871688692623328,0.21693573929530593,0.18871688692623328,0.21693573929530593
141,1,C,0.21314942485180194,0.19260326794972416,0.21314942485180194,0.19260326794972416
141,1,D,0.1948132909419612,0.22313052121261298,0.1948132909419612,0.22313052121261298
142,2,A,0.15467904098994587,0.2665408175904397,0.2665408175904397,0.15467904098994587
142,2,B,0.15654278392556079,0.17652706091948872,0.17652706091948872,0.15654278392556079
142,2,C,0.2025995776924358,0.2427057584741649,0.2427057584741649,0.2025995776924358
142,2,D,0.069247442,0.2985800386447879,0.2985800386447879,0.069247442
143,3,A,0.1726436539070218,0.17944075494314418,0.1726436539070218,0.17944075494314418
143,3,B,0.1591687570830097,0.13852800145652297,0.1591687570830097,0.13852800145652297
143,3,C,0.18977820104067464,0.26379771990837425,0.18977820104067464,0.26379771990837425
143,3,D,0.16939912590051034,0.22981584856054843,0.16939912590051034,0.22981584856054843
145,1,A,0.25881145154402596,0.2354024720202093,0.25881145154402596,0.2354024720202093
145,1,B,0.2561362085787002,0.27920259738187736,0.2561362085787002,0.27920259738187736
145,1,C,0.19695507454749572,0.23895900766841177,0.19695507454749572,0.23895900766841177
145,1,D,0.2023414957892735,0.23937673663219028,0.2023414957892735,0.23937673663219028
146,2,A,0.16083455815035308,0.11332456012363709,0.11332456012363709,0.16083455815035308
146,2,B,0.14635543602420578,0.081449807,0.081449807,0.14635543602420578
146,2,C,0.12138643755721933,0.16394217277383405,0.16394217277383405,0.12138643755721933
146,2,D,0.15092054457792003,0.1368961936697831,0.1368961936697831,0.15092054457792003
147,3,A,0.21555573347457363,0.2592302158739623,0.21555573347457363,0.2592302158739623
147,3,B,0.2716243133940967,0.26705570324159844,0.2716243133940967,0.26705570324159844
147,3,C,0.28656872839220615,0.13882975769579622,0.28656872839220615,0.13882975769579622
147,3,D,0.25331077178725947,0.2029522791540949,0.25331077178725947,0.2029522791540949
149,1,A,0.2400635513692352,0.11915802936451038,0.2400635513692352,0.11915802936451038
149,1,B,0.2386163721200631,0.19801117575075938,0.2386163721200631,0.19801117575075938
149,1,C,0.24492176976017704,0.12622827120564828,0.24492176976017704,0.12622827120564828
149,1,D,0.2400403267748982,0.19889968693189275,0.2400403267748982,0.19889968693189275
150,2,A,0.10587276211449081,0.090894593,0.090894593,0.10587276211449081
150,2,B,0.17775600815307557,0.09324028,0.09324028,0.17775600815307557
150,2,C,0.14003276766763423,0.092069394,0.092069394,0.14003276766763423
150,2,D,0.11576329493207588,0.076884466,0.076884466,0.11576329493207588
151,3,A,0.17515916129122663,0.1274182930196012,0.17515916129122663,0.1274182930196012
151,3,B,0.16590644646088368,0.11598052992114544,0.16590644646088368,0.11598052992114544
151,3,C,0.19567104495453316,0.17334272535736178,0.19567104495453316,0.17334272535736178
151,3,D,0.1801160224286013,0.14712620485852765,0.1801160224286013,0.14712620485852765
