Q1,Q2,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q3_8,Q3_9,Q3_10,Q3_11,Q3_12,Q3_13,Q3_14,Q3_15,Q3_16
108,No,None,None,None,None,Moderate,None,Slight,None,Moderate,None,None,None,None,None,None,None
109,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
110,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
111,No,None,Slight,None,None,None,None,None,None,None,None,None,None,None,None,None,None
112,No,None,None,None,Slight,None,None,None,None,None,None,None,None,None,None,None,None
114,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
116,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
117,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
118,No,None,None,None,Slight,None,None,None,None,None,None,None,None,None,None,Slight,None
119,No,None,Moderate,None,Slight,Slight,None,None,None,None,None,None,None,None,None,None,None
120,No,None,None,None,Slight,None,None,Slight,None,None,None,None,None,None,None,None,Slight
121,No,None,Slight,None,None,Slight,None,None,None,None,None,None,None,None,None,None,None
122,No,None,Moderate,None,None,Slight,None,Slight,None,None,None,None,None,None,None,None,None
123,No,None,Slight,None,None,None,None,Slight,None,None,None,None,None,None,None,None,None
124,No,Slight,Slight,Slight,Slight,Slight,None,Slight,None,Slight,None,None,Slight,Slight,None,None,Slight
125,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
126,No,None,None,Slight,Slight,None,None,None,None,None,None,None,None,None,None,None,None
127,No,None,None,None,Slight,None,None,Slight,None,None,None,None,None,None,None,None,None
128,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Slight,None
131,No,None,None,None,None,None,None,Slight,None,None,None,None,None,None,None,None,None
132,No,None,None,None,None,None,None,Slight,None,None,None,None,None,None,None,None,None
133,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
134,No,None,None,None,None,None,None,Slight,None,None,None,None,None,None,None,None,None
135,No,None,Slight,None,None,Slight,None,None,None,None,None,None,None,None,None,None,None
136,No,None,None,None,None,Slight,None,None,None,Slight,None,None,None,None,None,None,None
137,No,None,Slight,None,Slight,None,None,None,None,None,None,None,None,None,None,None,None
139,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
140,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
141,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
142,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
143,No,None,None,None,Slight,Slight,None,None,None,None,None,None,None,None,None,None,None
145,No,None,None,None,None,Moderate,None,None,None,Moderate,None,Slight,None,None,None,None,None
146,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
147,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
149,No,None,Slight,None,None,None,None,None,None,None,None,None,None,None,None,Slight,None
150,No,None,Slight,None,None,None,None,None,None,None,None,None,None,None,None,None,None
151,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
